Time,Height,Suction
2019-07-19 07:30:00,100.0,4226.06
2019-07-19 07:45:00,100.0,4226.59
2019-07-19 08:00:00,100.0,4226.59
2019-07-19 08:15:00,100.0,4231.48
2019-07-19 08:30:00,100.0,4243.15
2019-07-19 08:45:00,100.0,4243.15
2019-07-19 09:00:00,100.0,4218.99
2019-07-19 09:15:00,100.0,4218.99
2019-07-19 09:30:00,100.0,4218.99
2019-07-19 09:45:00,100.0,4216.38
2019-07-19 10:00:00,100.0,4216.38
2019-07-19 10:15:00,100.0,4216.38
2019-07-19 10:30:00,100.0,4216.38
2019-07-19 10:45:00,100.0,4216.38
2019-07-19 11:00:00,100.0,4204.37
2019-07-19 11:15:00,100.0,4177.72
2019-07-19 11:30:00,100.0,4174.95
2019-07-19 11:45:00,100.0,4168.25
2019-07-19 12:00:00,100.0,4168.25
2019-07-19 12:15:00,100.0,4168.25
2019-07-19 12:30:00,100.0,4168.25
2019-07-19 12:45:00,100.0,4168.25
2019-07-19 13:00:00,100.0,4157.13
2019-07-19 13:15:00,100.0,4157.13
2019-07-19 13:30:00,100.0,4150.67
2019-07-19 13:45:00,100.0,4149.07
2019-07-19 14:00:00,100.0,4147.02
2019-07-19 14:15:00,100.0,4120.35
2019-07-19 14:30:00,100.0,4100.7
2019-07-19 14:45:00,100.0,4093.58
2019-07-19 15:00:00,100.0,4077.15
2019-07-19 15:15:00,100.0,4058.06
2019-07-19 15:30:00,100.0,4057.21
2019-07-19 15:45:00,100.0,4050.2
2019-07-19 16:00:00,100.0,4042.73
2019-07-19 16:15:00,100.0,4028.26
2019-07-19 16:30:00,100.0,4020.34
2019-07-19 16:45:00,100.0,4016.75
2019-07-19 17:00:00,100.0,4020.34
2019-07-19 17:15:00,100.0,4023.26
2019-07-19 17:30:00,100.0,4020.34
2019-07-19 17:45:00,100.0,4013.7
2019-07-19 18:00:00,100.0,4013.7
2019-07-19 18:15:00,100.0,3996.22
2019-07-19 18:30:00,100.0,3995.74
2019-07-19 18:45:00,100.0,3989.0
2019-07-19 19:00:00,100.0,3995.74
2019-07-19 19:15:00,100.0,3995.74
2019-07-19 19:30:00,100.0,3995.74
2019-07-19 19:45:00,100.0,3996.84
2019-07-19 20:00:00,100.0,3996.84
2019-07-19 20:15:00,100.0,4009.68
2019-07-19 20:30:00,100.0,4009.68
2019-07-19 20:45:00,100.0,4010.62
2019-07-19 21:00:00,100.0,4010.62
2019-07-19 21:15:00,100.0,4010.8
2019-07-19 21:30:00,100.0,4010.8
2019-07-19 21:45:00,100.0,4008.15
2019-07-19 22:00:00,100.0,4008.15
2019-07-19 22:15:00,100.0,4005.67
2019-07-19 22:30:00,100.0,4002.31
2019-07-19 22:45:00,100.0,4005.67
2019-07-19 23:00:00,100.0,4002.31
2019-07-19 23:15:00,100.0,4002.14
2019-07-19 23:30:00,100.0,4002.31
2019-07-19 23:45:00,100.0,4002.14
2019-07-20 00:00:00,100.0,4002.14
2019-07-20 00:15:00,100.0,4001.36
2019-07-20 00:30:00,100.0,3993.96
2019-07-20 00:45:00,100.0,3993.96
2019-07-20 01:00:00,100.0,3999.86
2019-07-20 01:15:00,100.0,3994.16
2019-07-20 01:30:00,100.0,3999.86
2019-07-20 01:45:00,100.0,4003.83
2019-07-20 02:00:00,100.0,4011.46
2019-07-20 02:15:00,100.0,4011.46
2019-07-20 02:30:00,100.0,4024.32
2019-07-20 02:45:00,100.0,4011.46
2019-07-20 03:00:00,100.0,4009.61
2019-07-20 03:15:00,100.0,4009.61
2019-07-20 03:30:00,100.0,4009.61
