Soil_Temperature,Predictor,R2
Soil_T_Z100,TC250,0.34471448833492857
Soil_T_Z650,Suction_Z250,0.3372865802717593
Soil_T_Z900,TC550,0.33317434310701544
Soil_T_Z800,TC550,0.32904637588566477
Soil_T_Z250,Suction_Z250,0.32278885134426183
Soil_T_Z650,TC750,0.32135746322058867
Soil_T_Z850,TC550,0.3199233744267771
Soil_T_Z070,Suction_Z450,0.3178009901886284
Soil_T_Z750,AirTemp_Mean,0.3175654882378903
Soil_T_Z250,TC750,0.31599781003640603
Soil_T_Z750,Suction_Z250,0.31360728085852296
Soil_T_Z150,Suction_Z650,0.31343424400004927
Soil_T_Z750,AirTemp_Min,0.3127994383234407
Soil_T_Z350,AirTemp_Max,0.3058789297215152
Soil_T_Z100,Suction_Z650,0.30466462275343276
Soil_T_Z040,Suction_Z450,0.3034877977870263
Soil_T_Z150,TC550,0.30043790006112614
Soil_T_Z100,TC550,0.2929628836013489
Soil_T_Z750,TC750,0.2928661238646053
Soil_T_Z550,Suction_Z750,0.29156440717128396
Soil_T_Z070,TC350,0.28183871543161854
Soil_T_Z900,Suction_Z250,0.2818287360043008
Soil_T_Z800,Suction_Z250,0.2779543518474973
Soil_T_Z040,TC350,0.2737544823009347
Soil_T_Z070,Suction_Z350,0.27310983332884164
Soil_T_Z550,HF.Bottom,0.272074738831519
Soil_T_Z850,Suction_Z250,0.26978829759848033
Soil_T_Z040,Suction_Z350,0.2653830480984446
Soil_T_Z150,Suction_Z100,0.2629436248279494
Soil_T_Z070,TC250,0.26164317762544564
Soil_T_Z900,TC750,0.26093360011300415
Soil_T_Z100,Suction_Z100,0.25753005839175247
Soil_T_Z800,TC750,0.25683447672305326
Soil_T_Z900,AirTemp_Min,0.25625763959769454
Soil_T_Z040,TC250,0.25327351973314827
Soil_T_Z900,AirTemp_Mean,0.2526549942328491
Soil_T_Z450,AirTemp_Max,0.25222908925513954
Soil_T_Z450,Suction_Z750,0.24865708025375755
Soil_T_Z800,AirTemp_Min,0.24804643649085123
Soil_T_Z850,TC750,0.24670245066701957
Soil_T_Z800,AirTemp_Mean,0.24493686434604411
Soil_T_Z850,AirTemp_Min,0.2402090162203725
Soil_T_Z850,AirTemp_Mean,0.23703671954154382
Soil_T_Z150,Suction_Z250,0.23370455030225212
Soil_T_Z150,TC750,0.2295438182260472
Soil_T_Z100,Suction_Z250,0.2241770311120167
Soil_T_Z070,Suction_Z650,0.22251305376064068
Soil_T_Z100,TC750,0.2205646129091714
Soil_T_Z040,Suction_Z650,0.22000133249420917
Soil_T_Z070,TC550,0.21851150209198034
Soil_T_Z040,TC550,0.2144884069323526
Soil_T_Z550,AirTemp_Max,0.2091933407212464
Soil_T_Z450,HF.Bottom,0.20504531767604972
Soil_T_Z040,Suction_Z100,0.1919720358664202
Soil_T_Z070,Suction_Z100,0.19153283878217253
Soil_T_Z350,Suction_Z750,0.18880164288306067
Soil_T_Z040,HF.Top,0.1868727970816937
Soil_T_Z650,AirTemp_Max,0.180359091656368
Soil_T_Z070,Suction_Z250,0.15938184000823774
Soil_T_Z070,TC750,0.15730417649500317
Soil_T_Z040,TC750,0.15480974564418815
Soil_T_Z040,Suction_Z250,0.15445823543043224
Soil_T_Z750,AirTemp_Max,0.15358341884288018
Soil_T_Z250,Suction_Z750,0.1494987026214284
Soil_T_Z350,HF.Bottom,0.12695387403325797
Soil_T_Z070,HF.Top,0.11600031211253803
Soil_T_Z150,Suction_Z750,0.11135412794153798
Soil_T_Z900,Humid_Min,0.11077733365924547
Soil_T_Z800,Humid_Min,0.1085123763522069
Soil_T_Z900,AirTemp_Max,0.10792590142675962
Soil_T_Z850,Humid_Min,0.10638701783340154
Soil_T_Z550,Humid_Min,0.1054282572585652
Soil_T_Z650,Humid_Min,0.10522714213253626
Soil_T_Z750,Humid_Min,0.10496122249965112
Soil_T_Z800,AirTemp_Max,0.10419180666447092
Soil_T_Z100,Suction_Z750,0.10150150248758394
Soil_T_Z850,AirTemp_Max,0.09958447031234541
Soil_T_Z450,Humid_Min,0.09494011004931002
Soil_T_Z550,Humid_Mean,0.09177671734408521
Soil_T_Z450,Humid_Mean,0.08836613281996797
Soil_T_Z650,Humid_Mean,0.08787061310347122
Soil_T_Z900,Humid_Mean,0.08649171649742082
Soil_T_Z750,Humid_Mean,0.08572278704197467
Soil_T_Z350,Humid_Mean,0.08511985396842947
Soil_T_Z800,Humid_Mean,0.08484911517063054
Soil_T_Z100,WindSpeed,0.08464489528978891
Soil_T_Z850,Humid_Mean,0.08368824210605619
Soil_T_Z350,Humid_Min,0.08287462417800817
Soil_T_Z250,HF.Bottom,0.07889797118360409
Soil_T_Z150,WindSpeed,0.07869107817849408
Soil_T_Z250,Humid_Mean,0.07673810652890667
Soil_T_Z040,WindSpeed,0.07648448569768929
Soil_T_Z070,WindSpeed,0.07615392137305999
Soil_T_Z070,Suction_Z750,0.07491809224644397
Soil_T_Z250,WindSpeed,0.07209438401174262
Soil_T_Z250,Humid_Min,0.06953984257667178
Soil_T_Z350,Humid_Max,0.06641101109942005
Soil_T_Z250,Humid_Max,0.06407106588957923
Soil_T_Z040,Suction_Z750,0.06386286893319137
Soil_T_Z450,Humid_Max,0.06237666462116265
Soil_T_Z550,Humid_Max,0.059904928094713705
Soil_T_Z350,WindSpeed,0.05616949223621759
Soil_T_Z650,Humid_Max,0.05609421723177288
Soil_T_Z100,Humid_Max,0.055085787665472785
Soil_T_Z150,Humid_Max,0.053308177698009884
Soil_T_Z750,Humid_Max,0.052927386788911734
Soil_T_Z150,HF.Bottom,0.05172609255703886
Soil_T_Z150,Humid_Mean,0.05132851803838545
Soil_T_Z900,Humid_Max,0.04899027770702846
Soil_T_Z800,Humid_Max,0.04792931701730041
Soil_T_Z040,Humid_Max,0.04783518826840405
Soil_T_Z100,HF.Bottom,0.04710503813844402
Soil_T_Z850,Humid_Max,0.04708141115146525
Soil_T_Z100,Humid_Mean,0.04699061254739123
Soil_T_Z070,HF.Bottom,0.04688572506277844
Soil_T_Z040,HF.Bottom,0.04557564333878217
Soil_T_Z070,Humid_Max,0.04467633710741259
Soil_T_Z150,Humid_Min,0.04120863852618584
Soil_T_Z450,WindSpeed,0.035518133280351805
Soil_T_Z100,Humid_Min,0.03485376287782593
Soil_T_Z900,BaroPressure,0.03347215698951522
Soil_T_Z900,Rainfall,0.03344486876491615
Soil_T_Z850,Rainfall,0.03339642654615427
Soil_T_Z750,BaroPressure,0.033366261011175125
Soil_T_Z800,Rainfall,0.033328742556792745
Soil_T_Z800,BaroPressure,0.03289774018666736
Soil_T_Z850,BaroPressure,0.032813588667760074
Soil_T_Z650,BaroPressure,0.03259817693998168
Soil_T_Z070,Humid_Mean,0.03216378975480938
Soil_T_Z750,Rainfall,0.03140228773637688
