VWC,Predictor,R2
VWC_Z350,Humid_Min,0.0765752916986594
VWC_Z350,Humid_Max,0.07547193931314422
VWC_Z100,WindSpeed,0.07286227951649693
VWC_Z100,Suction_Z750,0.07083217393598784
VWC_Z350,Rainfall,0.06895722804454174
VWC_Z350,BaroPressure,0.0662153681787715
VWC_Z550,Drainage,0.059230360948659855
VWC_Z750,AirTemp_Max,0.05878570049384002
VWC_Z350,WindSpeed,0.058596737313682645
VWC_Z650,AirTemp_Max,0.05439587280611835
VWC_Z100,Humid_Mean,0.04999938732739362
VWC_Z250,WindSpeed,0.04708195939361326
VWC_Z100,Humid_Min,0.044722442476980206
VWC_Z350,Suction_Z750,0.04141832382634436
VWC_Z550,HF.Bottom,0.04026907992248141
VWC_Z750,Drainage,0.039437339316302666
VWC_Z650,Drainage,0.03833596608753753
VWC_Z750,HF.Bottom,0.030299348087099776
VWC_Z250,Humid_Mean,0.027468737814920985
VWC_Z100,Humid_Max,0.026440732118754973
VWC_Z250,Humid_Min,0.026278613336271905
VWC_Z650,HF.Bottom,0.02370889451328151
VWC_Z650,PET,0.02323411271328879
VWC_Z450,Suction_Z750,0.023064737878848107
VWC_Z550,PET,0.02166527812451413
VWC_Z750,PET,0.020468391634050898
VWC_Z250,NetRad,0.019301117203306184
VWC_Z250,Humid_Max,0.01756110954926604
VWC_Z650,Suction_Z750,0.013858577579139997
VWC_Z350,NetRad,0.013643998845956906
VWC_Z750,NetRad,0.013052547054458685
VWC_Z450,NetRad,0.012410276954578525
VWC_Z650,NetRad,0.010062866216021371
VWC_Z750,Suction_Z750,0.010040078045026157
VWC_Z100,NetRad,0.008924012701071349
VWC_Z450,PET,0.006455911806665826
VWC_Z550,NetRad,0.005473054184872317
VWC_Z100,Rainfall,0.004185555311182476
VWC_Z100,PET,0.0024624242080698577
VWC_Z250,Rainfall,0.0020044429167082045
VWC_Z350,PET,0.0019873936633710843
VWC_Z250,BaroPressure,0.0016417120565731524
VWC_Z250,HF.Top,0.0009464604437083857
VWC_Z100,HF.Top,0.00037780372393525496
VWC_Z650,HF.Top,0.00025677143848401585
VWC_Z750,HF.Top,0.0002518112346877599
VWC_Z550,HF.Top,0.00024863825729493083
VWC_Z250,PET,0.00023932915356728035
VWC_Z550,Suction_Z750,0.00020402785059214779
VWC_Z450,HF.Top,2.2996076855408276e-05
VWC_Z350,HF.Top,1.1522423258525372e-05
VWC_Z100,BaroPressure,7.5701413059237055e-06
