Time,Height,SoilTemp
2019-07-19 09:00:00,40.0,15.85
2019-07-19 09:15:00,40.0,15.99
2019-07-19 09:30:00,40.0,16.09
2019-07-19 09:45:00,40.0,16.21
2019-07-19 10:00:00,40.0,16.3
2019-07-19 10:15:00,40.0,16.37
2019-07-19 10:30:00,40.0,16.46
2019-07-19 10:45:00,40.0,16.52
2019-07-19 11:00:00,40.0,16.61
2019-07-19 11:15:00,40.0,16.63
2019-07-19 11:30:00,40.0,16.67
2019-07-19 11:45:00,40.0,16.72
2019-07-19 12:00:00,40.0,16.81
2019-07-19 12:15:00,40.0,16.93
2019-07-19 12:30:00,40.0,17.02
2019-07-19 12:45:00,40.0,17.2
2019-07-19 13:00:00,40.0,17.39
2019-07-19 13:15:00,40.0,17.46
2019-07-19 13:30:00,40.0,17.72
2019-07-19 13:45:00,40.0,18.1
2019-07-19 14:00:00,40.0,18.17
2019-07-19 14:15:00,40.0,18.16
2019-07-19 14:30:00,40.0,18.06
2019-07-19 14:45:00,40.0,17.94
2019-07-19 15:00:00,40.0,17.87
2019-07-19 15:15:00,40.0,17.78
2019-07-19 15:30:00,40.0,17.72
2019-07-19 15:45:00,40.0,17.66
2019-07-19 16:00:00,40.0,17.62
2019-07-19 16:15:00,40.0,17.54
2019-07-19 16:30:00,40.0,17.47
2019-07-19 16:45:00,40.0,17.42
2019-07-19 17:00:00,40.0,17.37
2019-07-19 17:15:00,40.0,17.33
2019-07-19 17:30:00,40.0,17.29
2019-07-19 17:45:00,40.0,17.26
2019-07-19 18:00:00,40.0,17.25
2019-07-19 18:15:00,40.0,17.24
2019-07-19 18:30:00,40.0,17.21
2019-07-19 18:45:00,40.0,17.19
2019-07-19 19:00:00,40.0,17.18
2019-07-19 19:15:00,40.0,17.18
2019-07-19 19:30:00,40.0,17.18
2019-07-19 19:45:00,40.0,17.17
2019-07-19 20:00:00,40.0,17.16
2019-07-19 20:15:00,40.0,17.15
2019-07-19 20:30:00,40.0,17.14
2019-07-19 20:45:00,40.0,17.13
2019-07-19 21:00:00,40.0,17.11
2019-07-19 21:15:00,40.0,17.08
2019-07-19 21:30:00,40.0,17.06
2019-07-19 21:45:00,40.0,17.06
2019-07-19 22:00:00,40.0,17.06
2019-07-19 22:15:00,40.0,17.05
2019-07-19 22:30:00,40.0,17.02
2019-07-19 22:45:00,40.0,16.99
2019-07-19 23:00:00,40.0,16.98
2019-07-19 23:15:00,40.0,16.96
2019-07-19 23:30:00,40.0,16.93
2019-07-19 23:45:00,40.0,16.9
2019-07-20 00:00:00,40.0,16.87
2019-07-20 00:15:00,40.0,16.84
2019-07-20 00:30:00,40.0,16.83
2019-07-20 00:45:00,40.0,16.81
2019-07-20 01:00:00,40.0,16.8
2019-07-20 01:15:00,40.0,16.79
2019-07-20 01:30:00,40.0,16.78
2019-07-20 01:45:00,40.0,16.78
2019-07-20 02:00:00,40.0,16.76
2019-07-20 02:15:00,40.0,16.76
2019-07-20 02:30:00,40.0,16.76
2019-07-20 02:45:00,40.0,16.74
2019-07-20 03:00:00,40.0,16.72
2019-07-20 03:15:00,40.0,16.71
2019-07-20 03:30:00,40.0,16.68
2019-07-20 03:45:00,40.0,16.66
2019-07-20 04:00:00,40.0,16.63
2019-07-20 04:15:00,40.0,16.62
2019-07-20 04:30:00,40.0,16.61
2019-07-20 04:45:00,40.0,16.6
2019-07-20 05:00:00,40.0,16.59
2019-07-20 05:15:00,40.0,16.6
2019-07-20 05:30:00,40.0,16.6
2019-07-20 05:45:00,40.0,16.61
2019-07-20 06:00:00,40.0,16.65
2019-07-20 06:15:00,40.0,16.67
2019-07-20 06:30:00,40.0,16.72
2019-07-20 06:45:00,40.0,16.76
2019-07-20 07:00:00,40.0,16.76
2019-07-20 07:15:00,40.0,16.77
2019-07-20 07:30:00,40.0,16.78
2019-07-20 07:45:00,40.0,16.8
2019-07-20 08:00:00,40.0,16.86
2019-07-20 08:15:00,40.0,16.93
2019-07-20 08:30:00,40.0,16.98
2019-07-20 08:45:00,40.0,17.03
2019-07-20 09:00:00,40.0,17.05
2019-07-20 09:15:00,40.0,17.08
2019-07-20 09:30:00,40.0,17.12
2019-07-20 09:45:00,40.0,17.22
2019-07-20 10:00:00,40.0,17.3
2019-07-20 10:15:00,40.0,17.36
2019-07-20 10:30:00,40.0,17.44
2019-07-20 10:45:00,40.0,17.17
2019-07-20 11:00:00,40.0,16.96
2019-07-20 11:15:00,40.0,17.07
2019-07-20 11:30:00,40.0,17.22
2019-07-20 11:45:00,40.0,17.29
2019-07-20 12:00:00,40.0,17.36
2019-07-20 12:15:00,40.0,17.48
2019-07-20 12:30:00,40.0,17.8
2019-07-20 12:45:00,40.0,18.11
2019-07-20 13:00:00,40.0,18.04
2019-07-20 13:15:00,40.0,18.06
2019-07-20 13:30:00,40.0,18.24
2019-07-20 13:45:00,40.0,18.22
2019-07-20 14:00:00,40.0,18.16
2019-07-20 14:15:00,40.0,18.14
2019-07-20 14:30:00,40.0,18.04
2019-07-20 14:45:00,40.0,18.07
2019-07-20 15:00:00,40.0,18.19
2019-07-20 15:15:00,40.0,18.18
2019-07-20 15:30:00,40.0,18.05
2019-07-20 15:45:00,40.0,17.94
2019-07-20 16:00:00,40.0,17.77
2019-07-20 16:15:00,40.0,17.58
2019-07-20 16:30:00,40.0,17.44
2019-07-20 16:45:00,40.0,17.35
2019-07-20 17:00:00,40.0,17.24
2019-07-20 17:15:00,40.0,17.1
2019-07-20 17:30:00,40.0,16.99
2019-07-20 17:45:00,40.0,16.86
2019-07-20 18:00:00,40.0,16.73
2019-07-20 18:15:00,40.0,16.59
2019-07-20 18:30:00,40.0,16.46
