Time,Height,ThermalConductivity
2019-07-18 00:00:00,750.0,1.27
2019-07-18 00:15:00,750.0,1.27
2019-07-18 00:30:00,750.0,1.27
2019-07-18 00:45:00,750.0,1.27
2019-07-18 01:00:00,750.0,1.27
2019-07-18 01:15:00,750.0,1.27
2019-07-18 01:30:00,750.0,1.27
2019-07-18 01:45:00,750.0,1.27
2019-07-18 02:00:00,750.0,1.27
2019-07-18 02:15:00,750.0,1.27
2019-07-18 02:30:00,750.0,1.27
2019-07-18 02:45:00,750.0,1.27
2019-07-18 03:00:00,750.0,1.27
2019-07-18 03:15:00,750.0,1.27
2019-07-18 03:30:00,750.0,1.27
2019-07-18 03:45:00,750.0,1.27
2019-07-18 04:00:00,750.0,1.27
2019-07-18 04:15:00,750.0,1.27
2019-07-18 04:30:00,750.0,1.27
2019-07-18 04:45:00,750.0,1.27
2019-07-18 05:00:00,750.0,1.27
2019-07-18 05:15:00,750.0,1.27
2019-07-18 05:30:00,750.0,1.27
2019-07-18 05:45:00,750.0,1.27
2019-07-18 06:00:00,750.0,1.27
2019-07-18 06:15:00,750.0,1.27
2019-07-18 06:30:00,750.0,1.27
2019-07-18 06:45:00,750.0,1.27
2019-07-18 07:00:00,750.0,1.27
2019-07-18 07:15:00,750.0,1.27
2019-07-18 07:30:00,750.0,1.27
2019-07-18 07:45:00,750.0,1.27
2019-07-18 08:00:00,750.0,1.27
2019-07-18 08:15:00,750.0,1.27
2019-07-18 08:30:00,750.0,1.27
2019-07-18 08:45:00,750.0,1.27
2019-07-18 09:00:00,750.0,1.27
2019-07-18 09:15:00,750.0,1.27
2019-07-18 09:30:00,750.0,1.27
2019-07-18 09:45:00,750.0,1.27
2019-07-18 10:00:00,750.0,1.27
2019-07-18 10:15:00,750.0,1.27
2019-07-18 10:30:00,750.0,1.27
2019-07-18 10:45:00,750.0,1.27
2019-07-18 11:00:00,750.0,1.27
2019-07-18 11:15:00,750.0,1.27
2019-07-18 11:30:00,750.0,1.27
2019-07-18 11:45:00,750.0,1.27
2019-07-18 12:00:00,750.0,1.27
2019-07-18 12:15:00,750.0,1.27
2019-07-18 12:30:00,750.0,1.27
